Weekly California Midgrade All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMM_PTE_SCA_DPG&f=W
12:41:06 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly California Midgrade All Formulations Retail Gasoline Prices Dollars per Gallon
06/10/2019,3.933
06/3/2019,4.009
05/27/2019,4.059
05/20/2019,4.118
05/13/2019,4.153
05/6/2019,4.199
04/29/2019,4.175
04/22/2019,4.141
04/15/2019,4.116
04/8/2019,3.916
04/1/2019,3.722
03/25/2019,3.58
03/18/2019,3.448
03/11/2019,3.415
03/4/2019,3.389
02/25/2019,3.371
02/18/2019,3.361
02/11/2019,3.357
02/4/2019,3.332
01/28/2019,3.32
01/21/2019,3.347
01/14/2019,3.354
01/7/2019,3.388
12/31/2018,3.419
12/24/2018,3.459
12/17/2018,3.459
12/10/2018,3.515
12/3/2018,3.594
11/26/2018,3.682
11/19/2018,3.723
11/12/2018,3.779
11/5/2018,3.832
10/29/2018,3.867
10/22/2018,3.902
10/15/2018,3.902
10/8/2018,3.9
10/1/2018,3.816
09/24/2018,3.719
09/17/2018,3.71
09/10/2018,3.697
09/3/2018,3.691
08/27/2018,3.674
08/20/2018,3.667
08/13/2018,3.679
08/6/2018,3.695
07/30/2018,3.697
07/23/2018,3.702
07/16/2018,3.728
07/9/2018,3.74
07/2/2018,3.739
06/25/2018,3.744
06/18/2018,3.772
06/11/2018,3.803
06/4/2018,3.818
05/28/2018,3.825
05/21/2018,3.803
05/14/2018,3.792
05/7/2018,3.769
04/30/2018,3.746
04/23/2018,3.707
04/16/2018,3.692
04/9/2018,3.658
04/2/2018,3.678
03/26/2018,3.629
03/19/2018,3.578
03/12/2018,3.533
03/5/2018,3.496
02/26/2018,3.498
02/19/2018,3.487
02/12/2018,3.496
02/5/2018,3.508
01/29/2018,3.436
01/22/2018,3.352
01/15/2018,3.34
01/8/2018,3.34
01/1/2018,3.287
12/25/2017,3.272
12/18/2017,3.239
12/11/2017,3.256
12/4/2017,3.301
11/27/2017,3.34
11/20/2017,3.369
11/13/2017,3.419
11/6/2017,3.381
10/30/2017,3.207
10/23/2017,3.2
10/16/2017,3.21
10/9/2017,3.217
10/2/2017,3.243
09/25/2017,3.277
