Weekly California Regular All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMR_PTE_SCA_DPG&f=W
12:40:33 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly California Regular All Formulations Retail Gasoline Prices Dollars per Gallon
06/10/2019,3.745
06/3/2019,3.83
05/27/2019,3.878
05/20/2019,3.934
05/13/2019,3.968
05/6/2019,4.006
04/29/2019,3.982
04/22/2019,3.948
04/15/2019,3.922
04/8/2019,3.718
04/1/2019,3.529
03/25/2019,3.389
03/18/2019,3.264
03/11/2019,3.223
03/4/2019,3.195
02/25/2019,3.184
02/18/2019,3.161
02/11/2019,3.155
02/4/2019,3.131
01/28/2019,3.13
01/21/2019,3.148
01/14/2019,3.161
01/7/2019,3.183
12/31/2018,3.219
12/24/2018,3.253
12/17/2018,3.271
12/10/2018,3.318
12/3/2018,3.399
11/26/2018,3.478
11/19/2018,3.526
11/12/2018,3.582
11/5/2018,3.644
10/29/2018,3.683
10/22/2018,3.709
10/15/2018,3.708
10/8/2018,3.707
10/1/2018,3.624
09/24/2018,3.527
09/17/2018,3.52
09/10/2018,3.513
09/3/2018,3.498
08/27/2018,3.471
08/20/2018,3.462
08/13/2018,3.491
08/6/2018,3.501
07/30/2018,3.505
07/23/2018,3.514
07/16/2018,3.535
07/9/2018,3.55
07/2/2018,3.546
06/25/2018,3.562
06/18/2018,3.591
06/11/2018,3.618
06/4/2018,3.632
05/28/2018,3.636
05/21/2018,3.618
05/14/2018,3.599
05/7/2018,3.632
04/30/2018,3.609
04/23/2018,3.567
04/16/2018,3.553
04/9/2018,3.522
04/2/2018,3.541
03/26/2018,3.487
03/19/2018,3.431
03/12/2018,3.392
03/5/2018,3.356
02/26/2018,3.36
02/19/2018,3.349
02/12/2018,3.358
02/5/2018,3.37
01/29/2018,3.296
01/22/2018,3.209
01/15/2018,3.196
01/8/2018,3.199
01/1/2018,3.148
12/25/2017,3.133
12/18/2017,3.106
12/11/2017,3.12
12/4/2017,3.16
11/27/2017,3.2
11/20/2017,3.222
11/13/2017,3.275
11/6/2017,3.243
10/30/2017,3.066
10/23/2017,3.064
10/16/2017,3.077
10/9/2017,3.083
10/2/2017,3.111
09/25/2017,3.143
09/18/2017,3.163
09/11/2017,3.186
09/4/2017,3.164
08/28/2017,3.035
08/21/2017,3.028
08/14/2017,3.014
08/7/2017,2.989
07/31/2017,2.981
07/24/2017,2.941
07/17/2017,2.934
07/10/2017,2.949
07/3/2017,2.946
06/26/2017,2.953
06/19/2017,2.996
06/12/2017,3.038
06/5/2017,3.104
05/29/2017,3.127
05/22/2017,3.094
05/15/2017,3.005
05/8/2017,2.986
05/1/2017,3.002
04/24/2017,3.017
04/17/2017,3.017
04/10/2017,3.008
04/3/2017,2.992
03/27/2017,2.998
03/20/2017,3.001
